序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1,1,平安银行,平安银行股份有限公司,深圳市,罗湖区,1057.86亿,231.89亿,33708,1991-04-03,--,,银行,主营业务:经有关监管机构批准的各项商业银行业务,经有关监管机构批准的各项商业银行业务
2,2,万科A,万科企业股份有限公司,深圳市,盐田区,2428.97亿,372.08亿,92764,1991-01-29,--,,房地产开发,主营业务:房地产开发和物业服务,房地产开发和物业服务
3,4,国农科技,深圳中国农大科技股份有限公司,深圳市,南山区,1.39亿,589.22万,172,1991-01-14,--,,生物医药,主营业务:生物制药,生物制药
4,5,世纪星源,深圳世纪星源股份有限公司,深圳市,罗湖区,5.31亿,2293.60万,705,1990-12-10,--,,环保工程、物业管理,主营业务:绿色低碳城市社区建设相关的服务业务,绿色低碳城市社区建设相关的服务业务
5,6,深振业A,深圳市振业(集团)股份有限公司,深圳市,罗湖区,29.59亿,8.20亿,370,1992-04-27,--,,房地产开发,主营业务:从事房地产开发与销售,从事房地产开发与销售
6,7,全新好,深圳市全新好股份有限公司,深圳市,福田区,3964.40万,79.51万,102,1992-04-13,--,,物业经营,主营业务:物业管理和房屋租赁业等,物业管理和房屋租赁业等
7,8,神州高铁,神州高铁技术股份有限公司,北京市,海淀区,23.31亿,8.90亿,2417,1992-05-07,--,,轨道交通设备,主营业务:专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案,专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案
8,9,中国宝安,中国宝安集团股份有限公司,深圳市,罗湖区,70.71亿,3.23亿,10944,1991-06-25,--,,综合,主营业务:新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业,新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业
9,10,美丽生态,深圳美丽生态股份有限公司,深圳市,宝安区,7.58亿,-10.62亿,489,1995-10-27,--,,园林工程,主营业务:从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。,从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。
10,11,深物业A,深圳市物业发展(集团)股份有限公司,深圳市,罗湖区,29.05亿,6.23亿,5196,1992-03-30,--,,房地产开发,主营业务:从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等
11,12,南玻A,中国南玻集团股份有限公司,深圳市,南山区,108.79亿,8.29亿,12105,1992-02-28,--,,玻璃,"主营业务:平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售","平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售"
12,14,沙河股份,沙河实业股份有限公司,深圳市,南山区,5.13亿,1098.82万,156,1992-06-02,--,,房地产开发,主营业务:房地产开发和销售,房地产开发和销售
13,16,深康佳A,康佳集团股份有限公司,深圳市,南山区,312.28亿,50.87亿,17822,1992-03-27,--,,电视机,主营业务:彩电业务、手机业务、白电业务、供应链贸易,彩电业务、手机业务、白电业务、供应链贸易
14,17,深中华A,深圳中华自行车(集团)股份有限公司,深圳市,深圳市,1.37亿,157.92万,51,1992-03-31,--,,自行车,主营业务:电动自行车、自行车及零配件的生产和销售以及物业管理。,电动自行车、自行车及零配件的生产和销售以及物业管理。
15,18,神州长城,神州长城股份有限公司,深圳市,龙岗区,64.97亿,3.84亿,2875,1992-06-16,--,,装修装饰,主营业务:建筑装饰工程设计与施工及建筑相关工程施工,建筑装饰工程设计与施工及建筑相关工程施工
16,19,深粮控股,深圳市深粮控股股份有限公司,深圳市,南山区,107.94亿,3.51亿,688,1992-10-12,--,,软饮料,主营业务:茶及天然植物精深加工为主的食品原料(配料)生产研发和销售业务;粮油储备粮油贸易粮油加工等粮油流通及粮油储备服务业,茶及天然植物精深加工为主的食品原料(配料)生产研发和销售业务;粮油储备粮油贸易粮油加工等粮油流通及粮油储备服务业
17,20,深华发A,深圳中恒华发股份有限公司,深圳市,福田区,8.58亿,97.44万,993,1992-04-28,--,,电子零部件,主营业务:精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。
18,21,深科技,深圳长城开发科技股份有限公司,深圳市,福田区,142.10亿,5.74亿,24626,1994-02-02,--,,PC、服务器及硬件,主营业务:计算机硬件、通讯设备等。,计算机硬件、通讯设备等。
19,22,深赤湾A,招商局港口集团股份有限公司,深圳市,南山区,--,--,1719,1993-05-05,--,,港口,装卸业务、港口配套业务、代理及其他业务,集装箱和散杂货的港口装卸、仓储、运输及其它配套服务
20,23,深天地A,深圳市天地(集团)股份有限公司,深圳市,南山区,12.29亿,2868.88万,1123,1993-04-29,--,,商品混凝土,主营业务:混凝土的生产和销售、房地产的开发与销售,混凝土的生产和销售、房地产的开发与销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
21,25,特力A,深圳市特力(集团)股份有限公司,深圳市,罗湖区,3.47亿,6578.16万,320,1993-06-21,--,,汽车销售,主营业务:汽车销售、汽车检测维修及配件销售、物业租赁及服务,汽车销售、汽车检测维修及配件销售、物业租赁及服务
22,26,飞亚达A,飞亚达(集团)股份有限公司,深圳市,南山区,33.46亿,1.43亿,5162,1993-06-03,--,,珠宝首饰,"主营业务:主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售","主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售"
23,27,深圳能源,深圳能源集团股份有限公司,深圳市,福田区,155.46亿,8.45亿,5845,1993-09-03,--,,火电,"主营业务:各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等","各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等"
24,28,国药一致,国药集团一致药业股份有限公司,深圳市,福田区,412.63亿,11.57亿,22480,1993-08-09,--,,医药商业,主营业务:药品的研发、生产，中西成药、中药材、生物制品、生化药品、保健品、医疗器械的批发销售和连锁零售。,药品的研发、生产，中西成药、中药材、生物制品、生化药品、保健品、医疗器械的批发销售和连锁零售。
25,29,深深房A,深圳经济特区房地产(集团)股份有限公司,深圳市,罗湖区,13.46亿,1.85亿,1912,1993-09-15,--,,房地产开发,主营业务:商品住宅销售、物业租赁及管理服务、酒店客房服务，以及建筑安装装修服务。,商品住宅销售、物业租赁及管理服务、酒店客房服务，以及建筑安装装修服务。
26,30,富奥股份,富奥汽车零部件股份有限公司,长春市,绿园区,71.93亿,8.19亿,6968,1993-09-29,--,,汽车零部件,主营业务:汽车零部件的生产与销售,汽车零部件的生产与销售
27,31,中粮地产,中粮地产(集团)股份有限公司,深圳市,宝安区,140.42亿,17.35亿,3307,1993-10-08,--,,房地产开发,主营业务:房地产开发、经营、销售、出租及管理住宅、商用物业、工业物业,房地产开发、经营、销售、出租及管理住宅、商用物业、工业物业
28,32,深桑达A,深圳市桑达实业股份有限公司,深圳市,南山区,18.82亿,5525.24万,1261,1993-10-28,--,,电子物流,主营业务:电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。,电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。
29,33,新都退,深圳新都酒店股份有限公司,--,广东,--,--,242,1994-01-03,--,,--,酒店经营、租赁业务、贸易业务、互联网业务、酒店咨询管理,酒店业务及其附属设施业务
30,34,神州数码,神州数码集团股份有限公司,深圳市,南山区,622.16亿,7.23亿,4486,1994-05-09,--,,贸易,主营业务:电话机产品的生产与销售及饲料产品的生产及销售及消费电子产品分销和企业IT产品分销,电话机产品的生产与销售及饲料产品的生产及销售及消费电子产品分销和企业IT产品分销
31,35,中国天楹,中国天楹股份有限公司,南通市,海安县,16.12亿,2.25亿,5737,1994-04-08,--,,垃圾发电,主营业务:以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备,以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备
32,36,华联控股,华联控股股份有限公司,深圳市,福田区,39.72亿,13.72亿,810,1994-06-17,--,,房地产开发,主营业务:房地产开发及自有物业租赁管理业务,房地产开发及自有物业租赁管理业务
33,37,深南电A,深圳南山热电股份有限公司,深圳市,南山区,20.46亿,37.71万,519,1994-07-01,--,,火电,主营业务:生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务
34,38,深大通,深圳大通实业股份有限公司,深圳市,南山区,15.10亿,3.58亿,244,1994-08-08,--,,网络媒体,主营业务:新媒体传媒运营、广告发布,新媒体传媒运营、广告发布
35,39,中集集团,中国国际海运集装箱(集团)股份有限公司,深圳市,南山区,763.00亿,31.58亿,51130,1994-04-08,--,,金属制品,主营业务:主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务,主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务
36,40,东旭蓝天,东旭蓝天新能源股份有限公司,深圳市,罗湖区,81.31亿,5.40亿,2881,1994-08-08,--,,太阳能,"主营业务:光伏电站投资、建设、运营,房地产开发与销售、物业管理等","光伏电站投资、建设、运营,房地产开发与销售、物业管理等"
37,42,中洲控股,深圳市中洲投资控股股份有限公司,深圳市,南山区,86.54亿,6.09亿,2314,1994-09-21,--,,房地产开发,主营业务:房地产开发、物业租赁经营、酒店经营、建筑施工。,房地产开发、物业租赁经营、酒店经营、建筑施工。
38,43,中航善达,中航善达股份有限公司,深圳市,福田区,58.93亿,-3472.81万,19886,1994-09-28,--,,房地产开发,主营业务:物业资产管理业务,物业资产管理业务
39,45,深纺织A,深圳市纺织(集团)股份有限公司,深圳市,福田区,14.76亿,7366.17万,1335,1994-08-15,--,,显示器件,"主营业务:以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。","以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。"
40,46,泛海控股,泛海控股股份有限公司,北京市,东城区,168.76亿,30.93亿,10523,1994-09-12,--,,房地产开发,主营业务:金融、房地产、战略投资等业务,金融、房地产、战略投资等业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
41,48,*ST康达,深圳市康达尔(集团)股份有限公司,深圳市,罗湖区,15.50亿,-1.39亿,1562,1994-11-01,--,,饲料,主营业务:交通运输、自来水供应，房地产开发、物业管理，肉猪、肉鸡养殖，饲料生产销售,交通运输、自来水供应，房地产开发、物业管理，肉猪、肉鸡养殖，饲料生产销售
42,49,德赛电池,深圳市德赛电池科技股份有限公司,深圳市,南山区,124.86亿,3.64亿,10586,1995-03-20,--,,电池,主营业务:生产制造电源管理系统及各类锂电池,生产制造电源管理系统及各类锂电池
43,50,深天马A,天马微电子股份有限公司,深圳市,福田区,238.24亿,15.35亿,40513,1995-03-15,--,,显示器件,主营业务:从事液晶显示器及相关材料、设备、产品的设计、制造、销售,从事液晶显示器及相关材料、设备、产品的设计、制造、销售
44,55,方大集团,方大集团股份有限公司,深圳市,南山区,29.47亿,11.51亿,2206,1996-04-15,--,,其他建材,主营业务:生产和经营新型建筑材料。,生产和经营新型建筑材料。
45,56,皇庭国际,深圳市皇庭国际企业股份有限公司,深圳市,福田区,8.08亿,1.52亿,736,1996-07-08,--,,物业租赁、物业管理,主营业务:自有商业地产项目的商业运营管理、商场和住宅项目的物业服务管理,自有商业地产项目的商业运营管理、商场和住宅项目的物业服务管理
46,58,深赛格,深圳赛格股份有限公司,深圳市,福田区,20.30亿,3.08亿,2763,1996-12-26,--,,专业市场,主营业务:电子专业市场及配套项目的开发及经营、物业租赁服务业务、IT产品渠道零售终端业务、电子商务和小额贷款增值业务。,电子专业市场及配套项目的开发及经营、物业租赁服务业务、IT产品渠道零售终端业务、电子商务和小额贷款增值业务。
47,59,华锦股份,北方华锦化学工业股份有限公司,盘锦市,双台子区,337.14亿,19.41亿,10233,1997-01-30,--,,石油加工,主营业务:石油化工产品、化学肥料的生产与销售。,石油化工产品、化学肥料的生产与销售。
48,60,中金岭南,深圳市中金岭南有色金属股份有限公司,深圳市,福田区,190.16亿,10.94亿,9685,1997-01-23,--,,铅锌,主营业务:有色金属矿产品、冶炼产品、深加工产品、综合利用产品及电池材料、铝型材、幕墙工程、出租车营运、房地产开发等,有色金属矿产品、冶炼产品、深加工产品、综合利用产品及电池材料、铝型材、幕墙工程、出租车营运、房地产开发等
49,61,农产品,深圳市农产品集团股份有限公司,深圳市,罗湖区,24.46亿,6117.25万,5036,1997-01-10,--,,专业市场,主营业务:农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。,农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。
50,62,深圳华强,深圳华强实业股份有限公司,深圳市,福田区,85.46亿,4.64亿,1832,1997-01-30,--,,专业市场,主营业务:面向电子信息产业链的现代高端服务业，为产业链上的各环节提供网上网下交易服务、产品服务和交易信息服务。,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供网上网下交易服务、产品服务和交易信息服务。
51,63,中兴通讯,中兴通讯股份有限公司,深圳市,南山区,1088.15亿,53.86亿,74773,1997-11-18,--,,通信传输设备,主营业务:设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端,设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端
52,65,北方国际,北方国际合作股份有限公司,北京市,丰台区,97.30亿,5.43亿,2001,1998-06-05,--,,专业工程,主营业务:承包境外工程及境内国际招标工程、房地产开发业务。,承包境外工程及境内国际招标工程、房地产开发业务。
53,66,中国长城,中国长城科技集团股份有限公司,深圳市,南山区,95.07亿,6.96亿,13829,1997-06-26,--,,PC、服务器及硬件,主营业务:计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。,计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。
54,68,华控赛格,深圳华控赛格股份有限公司,深圳市,宝安区,4.13亿,3264.41万,555,1997-06-11,--,,环保材料,主营业务:节能环保和新材料,节能环保和新材料
55,69,华侨城A,深圳华侨城股份有限公司,深圳市,南山区,423.41亿,93.18亿,25130,1997-09-10,--,,景区,主营业务:主题公园、酒店服务、房地产开发、纸包装等,主题公园、酒店服务、房地产开发、纸包装等
56,70,特发信息,深圳市特发信息股份有限公司,深圳市,南山区,54.73亿,2.98亿,4916,2000-05-11,--,,通信传输设备,主营业务:光纤、光缆、通信设备的生产和销售,光纤、光缆、通信设备的生产和销售
